country,population,region
Algeria,46.8,NORTHERN AFRICA
Egypt,105.2,NORTHERN AFRICA
Libya,6.9,NORTHERN AFRICA
Morocco,37.0,NORTHERN AFRICA
Sudan,48.1,NORTHERN AFRICA
Tunisia,11.9,NORTHERN AFRICA
Western Sahara,0.6,NORTHERN AFRICA
Benin,13.7,WESTERN AFRICA
Burkina Faso,22.9,WESTERN AFRICA
Cape Verde,0.6,WESTERN AFRICA
Cote d'Ivoire,30.9,WESTERN AFRICA
Gambia,2.8,WESTERN AFRICA
Ghana,34.1,WESTERN AFRICA
Guinea,14.2,WESTERN AFRICA
GuineaBissau,2.2,WESTERN AFRICA
Liberia,5.4,WESTERN AFRICA
Mali,23.3,WESTERN AFRICA
Mauritania,4.9,WESTERN AFRICA
Niger,27.2,WESTERN AFRICA
Nigeria,223.8,WESTERN AFRICA
Senegal,18.3,WESTERN AFRICA
Sierra Leone,8.9,WESTERN AFRICA
Togo,9.1,WESTERN AFRICA
Burundi,13.2,EASTERN AFRICA
Comoros,0.9,EASTERN AFRICA
Djibouti,1.1,EASTERN AFRICA
Eritrea,3.7,EASTERN AFRICA
Ethiopia,126.5,EASTERN AFRICA
Kenya,55.1,EASTERN AFRICA
Madagascar,30.4,EASTERN AFRICA
Malawi,19.8,EASTERN AFRICA
Mauritius,1.3,EASTERN AFRICA
Mayotte,0.3,EASTERN AFRICA
Mozambique,33.9,EASTERN AFRICA
Reunion,0.9,EASTERN AFRICA
Rwanda,14.1,EASTERN AFRICA
Seychelles,0.1,EASTERN AFRICA
Somalia,18.1,EASTERN AFRICA
South Sudan,11.1,EASTERN AFRICA
Tanzania,67.4,EASTERN AFRICA
Uganda,48.6,EASTERN AFRICA
Zambia,20.2,EASTERN AFRICA
Zimbabwe,16.7,EASTERN AFRICA
Angola,36.7,MIDDLE AFRICA
Cameroon,28.1,MIDDLE AFRICA
Central African Republic,6.2,MIDDLE AFRICA
Chad,18.3,MIDDLE AFRICA
Congo,6.1,MIDDLE AFRICA
Congo DR,102.3,MIDDLE AFRICA
Equatorial Guinea,1.7,MIDDLE AFRICA
Gabon,2.4,MIDDLE AFRICA
Sao Tome and Principe,0.2,MIDDLE AFRICA
Botswana,2.7,SOUTHERN AFRICA
eSwatini,1.2,SOUTHERN AFRICA
Lesotho,2.3,SOUTHERN AFRICA
Namibia,2.6,SOUTHERN AFRICA
South Africa,60.7,SOUTHERN AFRICA
Canada,40.1,NORTHERN AMERICA
United States,335.0,NORTHERN AMERICA
Belize,0.5,CENTRAL AMERICA
Costa Rica,5.3,CENTRAL AMERICA
El Salvador,6.4,CENTRAL AMERICA
Guatemala,18.1,CENTRAL AMERICA
Honduras,9.7,CENTRAL AMERICA
Mexico,131.0,CENTRAL AMERICA
Nicaragua,6.8,CENTRAL AMERICA
Panama,4.5,CENTRAL AMERICA
Antigua and Barbuda,0.1,CARIBBEAN
Bahamas,0.4,CARIBBEAN
Barbados,0.3,CARIBBEAN
Cuba,11.0,CARIBBEAN
Curacao,0.1,CARIBBEAN
Dominica,0.1,CARIBBEAN
Dominican Republic,11.3,CARIBBEAN
Grenada,0.1,CARIBBEAN
Guadeloupe,0.4,CARIBBEAN
Haiti,11.6,CARIBBEAN
Jamaica,2.8,CARIBBEAN
Martinique,0.3,CARIBBEAN
Puerto Rico,3.3,CARIBBEAN
St. Kitts and Nevis,0.1,CARIBBEAN
St. Lucia,0.2,CARIBBEAN
St. Vincent and the Grenadines,0.1,CARIBBEAN
Trinidad and Tobago,1.4,CARIBBEAN
Argentina,46.3,SOUTH AMERICA
Bolivia,12.2,SOUTH AMERICA
Brazil,204.0,SOUTH AMERICA
Chile,20.0,SOUTH AMERICA
Colombia,52.2,SOUTH AMERICA
Ecuador,17.1,SOUTH AMERICA
French Guiana,0.3,SOUTH AMERICA
Guyana,0.8,SOUTH AMERICA
Paraguay,6.2,SOUTH AMERICA
Peru,33.8,SOUTH AMERICA
Suriname,0.6,SOUTH AMERICA
Uruguay,3.6,SOUTH AMERICA
Venezuela,28.8,SOUTH AMERICA
Armenia,3.0,WESTERN ASIA
Azerbaijan,10.2,WESTERN ASIA
Bahrain,1.6,WESTERN ASIA
Cyprus,1.3,WESTERN ASIA
Georgia,3.8,WESTERN ASIA
Iraq,45.5,WESTERN ASIA
Israel,9.8,WESTERN ASIA
Jordan,11.4,WESTERN ASIA
Kuwait,4.4,WESTERN ASIA
Lebanon,5.4,WESTERN ASIA
Oman,5.0,WESTERN ASIA
Palestinian Territory,5.5,WESTERN ASIA
Qatar,2.7,WESTERN ASIA
Saudi Arabia,36.9,WESTERN ASIA
